id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,1.06,0.08,1.07,0.05,1.06,0.08,1.02,0.03,15
2,1.08,0.09,1.09,0.08,1.09,0.09,1.08,0.07,15
3,1.02,0.06,1.07,0.09,1.04,0.03,1.06,0.05,15
4,3.97,0.04,3.95,0.06,4.09,0.1,4.07,0.06,15
