id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,859.53,5.78,870.27,7.02,864,9.72,867.33,11.67,15
2,532.6,13.38,341.6,11.28,753.93,10.91,834.87,17.23,15
3,533.4,11.21,344.47,11.83,763.2,38.65,830.12,14.99,15
