analysis,F,df1,df2
ac-test,3149.21,3,168
ac-group,2274.41,3,56
ac-testXgroup,795.16,9,168
rt-test,4474.64,3,168
rt-group,4240.94,3,56
rt-testXgroup,1255.68,9,168
