id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,831.12,10.25,840.23,11.39,838.17,12.25,841.58,10.46,15
2,574.27,8.37,485.26,9.63,715.24,10.24,828.15,11.34,15
3,587.48,9.84,479.68,9.49,742.14,11.13,839.19,10.95,15
4,595.73,11.05,490.51,10.26,950.27,13.24,958.56,12.47,15
