id,E_m,E_sd,A_m,A_sd,I_m,I_sd,C_m,C_sd,n
1,1.4,1.4,1.31,1.4,1.3,0.12,1.3,0.14,20
2,2.11,0.1,2.99,0.11,2.6,0.14,1.2,0.05,20
3,2.13,0.14,3,0.09,2.6,0.11,1.4,0.12,20
