id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,868.33,0.34,879.33,0.28,875.27,0.29,878.67,0.67,15
2,542.27,0.2,355.07,0.24,747.53,0.22,884.53,0.5,15
3,544.4,0.36,357.73,0.34,758.13,0.12,880.07,0.59,15
4,543.53,0.16,354.8,0.17,968.4,0.18,1095.4,0.44,15
