id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,10.33,6.4,9.67,6.67,11,6.32,11.67,6.99,15
2,45.33,7.18,57,5.28,38,5.28,10.67,4.17,15
3,45,5.34,56,5.41,33.33,6.45,9.67,3.99,15
4,42.67,5.3,55.67,4.58,22.67,9.03,2.33,3.2,15
