id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,35.33,0.29,37.67,0.13,36.33,0.18,37,0.33,15
2,68.99,0.24,82.67,0.18,56.36,0.14,38.56,0.23,15
3,68.67,0.35,84,0.26,53.54,0.26,39.33,0.12,15
4,67.63,0.38,81.33,0.38,23.23,0.21,30.63,0.2,15
