id,I_m,I_sd,A_m,A_sd,E_m,E_sd,C_m,C_sd,n
1,36.41,2.59,35.67,3.21,34.78,2.96,35.37,2.76,20
2,68.28,3.57,79.76,4.1,55.24,3.82,34.56,2.47,20
3,67.83,3.93,80.35,4.35,54.56,3.97,35.84,2.91,20
4,67.01,4.55,79.51,5.64,41.77,4.53,31.54,3.58,20
