id,E_m,E_sd,I_m,I_sd,S_m,S_sd,C_m,C_sd,n
1,0.9,0.27,0.85,0.22,0.86,0.19,0.88,0.18,15
2,0.81,0.13,0.79,0.12,0.79,0.21,0.88,0.16,15
3,0.82,0.2,0.78,0.25,0.77,0.1,0.88,0.15,15
